area_quemada;clase_incendio;mes_incendio;vegetacion;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_cont
2.3;B;Febrero;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
2.2;B;Junio;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Septiembre;Matorral abierto;76.4;28.3;0.3;13.8
1.0;B;Junio;Matorral abierto;20.1;19.3;0.0;89.2
0.75;B;Abril;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
9.0;B;Marzo;Bosque tropical perennifolio secundario;88.2;48.5;0.5;0.0
1.0;B;Septiembre;Desierto polar_roca;47.8;3.6;3.6;0.0
12.0;C;Mayo;Bosque tropical perennifolio secundario;64.3;25.0;0.0;125.3
2.0;B;Junio;Desierto polar_roca;91.1;59.6;5.6;107.4
2.0;B;Septiembre;Matorral abierto;149.9;134.3;37.1;0.0
1.0;B;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Enero;Matorral abierto;73.9;0.0;0.0;0.0
1.0;B;Marzo;Desierto polar_roca;0.0;0.0;0.0;0.0
2.0;B;Marzo;Bosque tropical perennifolio;113.0;89.0;85.2;173.9
